heading;content;id
Countries;Switzerland;https://juris.ohchr.org/Search/Details/10
Date of admissibility;;https://juris.ohchr.org/Search/Details/10
Submission date;31 Aug 2010;https://juris.ohchr.org/Search/Details/10
Date of adoption of the Views;21 May 2013;https://juris.ohchr.org/Search/Details/10
Session No;50;https://juris.ohchr.org/Search/Details/10
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/10
Comment;;https://juris.ohchr.org/Search/Details/10
Issues;;https://juris.ohchr.org/Search/Details/10
Articles;;https://juris.ohchr.org/Search/Details/10
Committee;CAT;https://juris.ohchr.org/Search/Details/11
Communication number(s);439/2010,;https://juris.ohchr.org/Search/Details/11
Author;M.B.;https://juris.ohchr.org/Search/Details/11
Display name;M.B.;https://juris.ohchr.org/Search/Details/11
Victim;M.B.;https://juris.ohchr.org/Search/Details/11
Countries;Switzerland;https://juris.ohchr.org/Search/Details/11
Date of admissibility;;https://juris.ohchr.org/Search/Details/11
Submission date;22 Nov 2010;https://juris.ohchr.org/Search/Details/11
Date of adoption of the Views;31 May 2013;https://juris.ohchr.org/Search/Details/11
Session No;50;https://juris.ohchr.org/Search/Details/11
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/11
Comment;;https://juris.ohchr.org/Search/Details/11
Issues;;https://juris.ohchr.org/Search/Details/11
Articles;;https://juris.ohchr.org/Search/Details/11
Committee;CAT;https://juris.ohchr.org/Search/Details/12
Communication number(s);463/2011,;https://juris.ohchr.org/Search/Details/12
Author;D.Y.;https://juris.ohchr.org/Search/Details/12
Display name;D.Y.;https://juris.ohchr.org/Search/Details/12
Victim;D.Y.;https://juris.ohchr.org/Search/Details/12
Countries;Sweden;https://juris.ohchr.org/Search/Details/12
Date of admissibility;;https://juris.ohchr.org/Search/Details/12
Submission date;30 May 2011;https://juris.ohchr.org/Search/Details/12
Date of adoption of the Views;21 May 2013;https://juris.ohchr.org/Search/Details/12
Session No;50;https://juris.ohchr.org/Search/Details/12
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/12
Comment;;https://juris.ohchr.org/Search/Details/12
Issues;;https://juris.ohchr.org/Search/Details/12
Articles;;https://juris.ohchr.org/Search/Details/12
Committee;CAT;https://juris.ohchr.org/Search/Details/13
Communication number(s);479/2011,;https://juris.ohchr.org/Search/Details/13
Author;E.E.;https://juris.ohchr.org/Search/Details/13
Display name;E.E.;https://juris.ohchr.org/Search/Details/13
Victim;E.E.;https://juris.ohchr.org/Search/Details/13
Countries;Russian Federation;https://juris.ohchr.org/Search/Details/13
Date of admissibility;;https://juris.ohchr.org/Search/Details/13
Submission date;26 Aug 2010;https://juris.ohchr.org/Search/Details/13
Date of adoption of the Views;24 May 2013;https://juris.ohchr.org/Search/Details/13
Session No;50;https://juris.ohchr.org/Search/Details/13
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/13
Comment;;https://juris.ohchr.org/Search/Details/13
Issues;;https://juris.ohchr.org/Search/Details/13
Articles;;https://juris.ohchr.org/Search/Details/13
Committee;CAT;https://juris.ohchr.org/Search/Details/14
Communication number(s);425/2010,;https://juris.ohchr.org/Search/Details/14
Author;I.A.F.B.;https://juris.ohchr.org/Search/Details/14
Display name;I.A.F.B.;https://juris.ohchr.org/Search/Details/14
Victim;I.A.F.B.;https://juris.ohchr.org/Search/Details/14
Countries;Sweden;https://juris.ohchr.org/Search/Details/14
Date of admissibility;13 Nov 2012;https://juris.ohchr.org/Search/Details/14
Submission date;22 Jun 2010;https://juris.ohchr.org/Search/Details/14
Date of adoption of the Views;;https://juris.ohchr.org/Search/Details/14
Session No;49;https://juris.ohchr.org/Search/Details/14
Type of decision;Inadmissibility decision;https://juris.ohchr.org/Search/Details/14
Comment;;https://juris.ohchr.org/Search/Details/14
Issues;;https://juris.ohchr.org/Search/Details/14
Articles;;https://juris.ohchr.org/Search/Details/14
Committee;CAT;https://juris.ohchr.org/Search/Details/15
Communication number(s);432/2010,;https://juris.ohchr.org/Search/Details/15
Author;H.K.;https://juris.ohchr.org/Search/Details/15
Display name;H.K.;https://juris.ohchr.org/Search/Details/15
Victim;H.K.;https://juris.ohchr.org/Search/Details/15
Countries;Switzerland;https://juris.ohchr.org/Search/Details/15
Date of admissibility;;https://juris.ohchr.org/Search/Details/15
Submission date;01 Sep 2010;https://juris.ohchr.org/Search/Details/15
Date of adoption of the Views;23 Nov 2012;https://juris.ohchr.org/Search/Details/15
Session No;49;https://juris.ohchr.org/Search/Details/15
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/15
Comment;;https://juris.ohchr.org/Search/Details/15
Issues;;https://juris.ohchr.org/Search/Details/15
Articles;;https://juris.ohchr.org/Search/Details/15
Committee;CAT;https://juris.ohchr.org/Search/Details/16
Communication number(s);435/2010,;https://juris.ohchr.org/Search/Details/16
Author;G.B.M.;https://juris.ohchr.org/Search/Details/16
Display name;G.B.M.;https://juris.ohchr.org/Search/Details/16
Victim;G.B.M.;https://juris.ohchr.org/Search/Details/16
Countries;Sweden;https://juris.ohchr.org/Search/Details/16
Date of admissibility;;https://juris.ohchr.org/Search/Details/16
Submission date;05 Oct 2010;https://juris.ohchr.org/Search/Details/16
Date of adoption of the Views;14 Nov 2012;https://juris.ohchr.org/Search/Details/16
Session No;49;https://juris.ohchr.org/Search/Details/16
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/16
Comment;;https://juris.ohchr.org/Search/Details/16
Issues;;https://juris.ohchr.org/Search/Details/16
Articles;;https://juris.ohchr.org/Search/Details/16
Committee;CAT;https://juris.ohchr.org/Search/Details/17
Communication number(s);437/2010,;https://juris.ohchr.org/Search/Details/17
Author;B.M.S.;https://juris.ohchr.org/Search/Details/17
Display name;B.M.S.;https://juris.ohchr.org/Search/Details/17
Victim;B.M.S.;https://juris.ohchr.org/Search/Details/17
Countries;Sweden;https://juris.ohchr.org/Search/Details/17
Date of admissibility;12 Nov 2012;https://juris.ohchr.org/Search/Details/17
Submission date;10 Aug 2010;https://juris.ohchr.org/Search/Details/17
Date of adoption of the Views;;https://juris.ohchr.org/Search/Details/17
Session No;49;https://juris.ohchr.org/Search/Details/17
Type of decision;Inadmissibility decision;https://juris.ohchr.org/Search/Details/17
Comment;;https://juris.ohchr.org/Search/Details/17
Issues;;https://juris.ohchr.org/Search/Details/17
Articles;;https://juris.ohchr.org/Search/Details/17
Committee;CAT;https://juris.ohchr.org/Search/Details/18
Communication number(s);389/2009,;https://juris.ohchr.org/Search/Details/18
Author;R.A.;https://juris.ohchr.org/Search/Details/18
Display name;R.A.;https://juris.ohchr.org/Search/Details/18
Victim;R.A.;https://juris.ohchr.org/Search/Details/18
Countries;Switzerland;https://juris.ohchr.org/Search/Details/18
Date of admissibility;;https://juris.ohchr.org/Search/Details/18
Submission date;29 Jun 2009;https://juris.ohchr.org/Search/Details/18
Date of adoption of the Views;20 Nov 2012;https://juris.ohchr.org/Search/Details/18
Session No;49;https://juris.ohchr.org/Search/Details/18
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/18
Comment;;https://juris.ohchr.org/Search/Details/18
Issues;;https://juris.ohchr.org/Search/Details/18
Articles;;https://juris.ohchr.org/Search/Details/18
Committee;CAT;https://juris.ohchr.org/Search/Details/19
Communication number(s);464/2011,;https://juris.ohchr.org/Search/Details/19
Author;K.H.;https://juris.ohchr.org/Search/Details/19
Display name;K.H.;https://juris.ohchr.org/Search/Details/19
Victim;K.H.;https://juris.ohchr.org/Search/Details/19
Countries;Denmark;https://juris.ohchr.org/Search/Details/19
Date of admissibility;;https://juris.ohchr.org/Search/Details/19
Submission date;07 Feb 2011;https://juris.ohchr.org/Search/Details/19
Date of adoption of the Views;23 Nov 2012;https://juris.ohchr.org/Search/Details/19
Session No;49;https://juris.ohchr.org/Search/Details/19
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/19
Comment;;https://juris.ohchr.org/Search/Details/19
Issues;;https://juris.ohchr.org/Search/Details/19
Articles;;https://juris.ohchr.org/Search/Details/19
Committee;CAT;https://juris.ohchr.org/Search/Details/20
Communication number(s);346/2008,;https://juris.ohchr.org/Search/Details/20
Author;S.A.C.;https://juris.ohchr.org/Search/Details/20
Display name;S.A.C.;https://juris.ohchr.org/Search/Details/20
Victim;S.A.C.;https://juris.ohchr.org/Search/Details/20
Countries;Monaco;https://juris.ohchr.org/Search/Details/20
Date of admissibility;13 Nov 2012;https://juris.ohchr.org/Search/Details/20
Submission date;08 Jul 2008;https://juris.ohchr.org/Search/Details/20
Date of adoption of the Views;;https://juris.ohchr.org/Search/Details/20
Session No;49;https://juris.ohchr.org/Search/Details/20
Type of decision;Inadmissibility decision;https://juris.ohchr.org/Search/Details/20
Comment;;https://juris.ohchr.org/Search/Details/20
Issues;;https://juris.ohchr.org/Search/Details/20
Articles;;https://juris.ohchr.org/Search/Details/20
Committee;CAT;https://juris.ohchr.org/Search/Details/21
Communication number(s);385/2009,;https://juris.ohchr.org/Search/Details/21
Author;M.A.F. et al.;https://juris.ohchr.org/Search/Details/21
Display name;M.A.F. et al.;https://juris.ohchr.org/Search/Details/21
Victim;M.A.F. et al.;https://juris.ohchr.org/Search/Details/21
Countries;Sweden;https://juris.ohchr.org/Search/Details/21
Date of admissibility;;https://juris.ohchr.org/Search/Details/21
Submission date;13 May 2009;https://juris.ohchr.org/Search/Details/21
Date of adoption of the Views;23 Nov 2012;https://juris.ohchr.org/Search/Details/21
Session No;49;https://juris.ohchr.org/Search/Details/21
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/21
Comment;;https://juris.ohchr.org/Search/Details/21
Issues;;https://juris.ohchr.org/Search/Details/21
Articles;;https://juris.ohchr.org/Search/Details/21
Committee;CAT;https://juris.ohchr.org/Search/Details/22
Communication number(s);406/2009,;https://juris.ohchr.org/Search/Details/22
Author;S.M.;https://juris.ohchr.org/Search/Details/22
Display name;S.M.;https://juris.ohchr.org/Search/Details/22
Victim;S.M.;https://juris.ohchr.org/Search/Details/22
Countries;Switzerland;https://juris.ohchr.org/Search/Details/22
Date of admissibility;;https://juris.ohchr.org/Search/Details/22
Submission date;10 Nov 2009;https://juris.ohchr.org/Search/Details/22
Date of adoption of the Views;23 Nov 2012;https://juris.ohchr.org/Search/Details/22
Session No;49;https://juris.ohchr.org/Search/Details/22
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/22
Comment;;https://juris.ohchr.org/Search/Details/22
Issues;;https://juris.ohchr.org/Search/Details/22
Articles;;https://juris.ohchr.org/Search/Details/22
Committee;CAT;https://juris.ohchr.org/Search/Details/23
Communication number(s);412/2010,;https://juris.ohchr.org/Search/Details/23
Author;A.A.;https://juris.ohchr.org/Search/Details/23
Display name;A.A.;https://juris.ohchr.org/Search/Details/23
Victim;A.A.;https://juris.ohchr.org/Search/Details/23
Countries;Denmark;https://juris.ohchr.org/Search/Details/23
Date of admissibility;;https://juris.ohchr.org/Search/Details/23
Submission date;30 Sep 2009;https://juris.ohchr.org/Search/Details/23
Date of adoption of the Views;13 Nov 2012;https://juris.ohchr.org/Search/Details/23
Session No;49;https://juris.ohchr.org/Search/Details/23
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/23
Comment;;https://juris.ohchr.org/Search/Details/23
Issues;;https://juris.ohchr.org/Search/Details/23
Articles;;https://juris.ohchr.org/Search/Details/23
Committee;CAT;https://juris.ohchr.org/Search/Details/24
Communication number(s);416/2010,;https://juris.ohchr.org/Search/Details/24
Author;Ke Chun Rong;https://juris.ohchr.org/Search/Details/24
Display name;Chun Rong;https://juris.ohchr.org/Search/Details/24
Victim;Ke Chun Rong;https://juris.ohchr.org/Search/Details/24
Countries;Australia;https://juris.ohchr.org/Search/Details/24
Date of admissibility;;https://juris.ohchr.org/Search/Details/24
Submission date;15 Mar 2010;https://juris.ohchr.org/Search/Details/24
Date of adoption of the Views;05 Nov 2012;https://juris.ohchr.org/Search/Details/24
Session No;49;https://juris.ohchr.org/Search/Details/24
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/24
Comment;;https://juris.ohchr.org/Search/Details/24
Issues;;https://juris.ohchr.org/Search/Details/24
Articles;;https://juris.ohchr.org/Search/Details/24
Committee;CAT;https://juris.ohchr.org/Search/Details/25
Communication number(s);417/2010,;https://juris.ohchr.org/Search/Details/25
Author;Y.Z.S.;https://juris.ohchr.org/Search/Details/25
Display name;Y.Z.S.;https://juris.ohchr.org/Search/Details/25
Victim;Y.Z.S.;https://juris.ohchr.org/Search/Details/25
Countries;Australia;https://juris.ohchr.org/Search/Details/25
Date of admissibility;;https://juris.ohchr.org/Search/Details/25
Submission date;30 Mar 2010;https://juris.ohchr.org/Search/Details/25
Date of adoption of the Views;23 Nov 2012;https://juris.ohchr.org/Search/Details/25
Session No;49;https://juris.ohchr.org/Search/Details/25
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/25
Comment;;https://juris.ohchr.org/Search/Details/25
Issues;;https://juris.ohchr.org/Search/Details/25
Articles;;https://juris.ohchr.org/Search/Details/25
Committee;CAT;https://juris.ohchr.org/Search/Details/26
Communication number(s);433/2010,;https://juris.ohchr.org/Search/Details/26
Author;Alexander Gerasimov;https://juris.ohchr.org/Search/Details/26
Display name;Gerasimov;https://juris.ohchr.org/Search/Details/26
Victim;Alexander Gerasimov;https://juris.ohchr.org/Search/Details/26
Countries;Kazakhstan;https://juris.ohchr.org/Search/Details/26
Date of admissibility;;https://juris.ohchr.org/Search/Details/26
Submission date;22 Apr 2010;https://juris.ohchr.org/Search/Details/26
Date of adoption of the Views;24 May 2012;https://juris.ohchr.org/Search/Details/26
Session No;48;https://juris.ohchr.org/Search/Details/26
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/26
Comment;The decision was adopted by vote. Nine members voted in favour and one member, Xuexian Wang, abstained;https://juris.ohchr.org/Search/Details/26
Issues;;https://juris.ohchr.org/Search/Details/26
Articles;;https://juris.ohchr.org/Search/Details/26
Committee;CAT;https://juris.ohchr.org/Search/Details/27
Communication number(s);391/2009,;https://juris.ohchr.org/Search/Details/27
Author;M.A.M.A. et al.;https://juris.ohchr.org/Search/Details/27
Display name;M.A.M.A. et al.;https://juris.ohchr.org/Search/Details/27
Victim;M.A.M.A. et al.;https://juris.ohchr.org/Search/Details/27
Countries;Sweden;https://juris.ohchr.org/Search/Details/27
Date of admissibility;;https://juris.ohchr.org/Search/Details/27
Submission date;07 Jul 2009;https://juris.ohchr.org/Search/Details/27
Date of adoption of the Views;23 May 2012;https://juris.ohchr.org/Search/Details/27
Session No;48;https://juris.ohchr.org/Search/Details/27
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/27
Comment;;https://juris.ohchr.org/Search/Details/27
Issues;;https://juris.ohchr.org/Search/Details/27
Articles;;https://juris.ohchr.org/Search/Details/27
Committee;CAT;https://juris.ohchr.org/Search/Details/28
Communication number(s);393/2009,;https://juris.ohchr.org/Search/Details/28
Author;E.T.;https://juris.ohchr.org/Search/Details/28
Display name;E.T.;https://juris.ohchr.org/Search/Details/28
Victim;E.T.;https://juris.ohchr.org/Search/Details/28
Countries;SwedenSwitzerland;https://juris.ohchr.org/Search/Details/28
Date of admissibility;;https://juris.ohchr.org/Search/Details/28
Submission date;27 Jul 2009;https://juris.ohchr.org/Search/Details/28
Date of adoption of the Views;23 May 2012;https://juris.ohchr.org/Search/Details/28
Session No;48;https://juris.ohchr.org/Search/Details/28
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/28
Comment;;https://juris.ohchr.org/Search/Details/28
Issues;;https://juris.ohchr.org/Search/Details/28
Articles;;https://juris.ohchr.org/Search/Details/28
Committee;CAT;https://juris.ohchr.org/Search/Details/29
Communication number(s);424/2010,;https://juris.ohchr.org/Search/Details/29
Author;M.Z.A.;https://juris.ohchr.org/Search/Details/29
Display name;M.Z.A.;https://juris.ohchr.org/Search/Details/29
Victim;M.Z.A.;https://juris.ohchr.org/Search/Details/29
Countries;AzerbaijanSweden;https://juris.ohchr.org/Search/Details/29
Date of admissibility;;https://juris.ohchr.org/Search/Details/29
Submission date;03 Jun 2010;https://juris.ohchr.org/Search/Details/29
Date of adoption of the Views;22 May 2012;https://juris.ohchr.org/Search/Details/29
Session No;48;https://juris.ohchr.org/Search/Details/29
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/29
Comment;;https://juris.ohchr.org/Search/Details/29
Issues;;https://juris.ohchr.org/Search/Details/29
Articles;;https://juris.ohchr.org/Search/Details/29
Committee;CAT;https://juris.ohchr.org/Search/Details/30
Communication number(s);444/2010,;https://juris.ohchr.org/Search/Details/30
Author;Toirjon Abdussamatov and 28 other complainants;https://juris.ohchr.org/Search/Details/30
Display name;Abdussamatov et al.;https://juris.ohchr.org/Search/Details/30
Victim;Toirjon Abdussamatov and 28 other complainants;https://juris.ohchr.org/Search/Details/30
Countries;Kazakhstan;https://juris.ohchr.org/Search/Details/30
Date of admissibility;;https://juris.ohchr.org/Search/Details/30
Submission date;24 Dec 2010;https://juris.ohchr.org/Search/Details/30
Date of adoption of the Views;01 Jun 2012;https://juris.ohchr.org/Search/Details/30
Session No;48;https://juris.ohchr.org/Search/Details/30
Type of decision;Admissibility decision;https://juris.ohchr.org/Search/Details/30
Comment;;https://juris.ohchr.org/Search/Details/30
Issues;;https://juris.ohchr.org/Search/Details/30
Articles;;https://juris.ohchr.org/Search/Details/30
Committee;CAT;https://juris.ohchr.org/Search/Details/31
Communication number(s);343/2008,;https://juris.ohchr.org/Search/Details/31
Author;Arthur Kasombola Kalonzo;https://juris.ohchr.org/Search/Details/31
Display name;Kalonzo;https://juris.ohchr.org/Search/Details/31
Victim;Arthur Kasombola Kalonzo;https://juris.ohchr.org/Search/Details/31
Countries;Canada;https://juris.ohchr.org/Search/Details/31
Date of admissibility;;https://juris.ohchr.org/Search/Details/31
Submission date;04 Jun 2008;https://juris.ohchr.org/Search/Details/31
Date of adoption of the Views;18 May 2012;https://juris.ohchr.org/Search/Details/31
Session No;48;https://juris.ohchr.org/Search/Details/31
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/31
Comment;;https://juris.ohchr.org/Search/Details/31
Issues;;https://juris.ohchr.org/Search/Details/31
Articles;;https://juris.ohchr.org/Search/Details/31
Committee;CAT;https://juris.ohchr.org/Search/Details/32
Communication number(s);364/2008,;https://juris.ohchr.org/Search/Details/32
Author;J.L.L.;https://juris.ohchr.org/Search/Details/32
Display name;J.L.L.;https://juris.ohchr.org/Search/Details/32
Victim;J.L.L. and his children, A.N. and M.L.;https://juris.ohchr.org/Search/Details/32
Countries;Switzerland;https://juris.ohchr.org/Search/Details/32
Date of admissibility;;https://juris.ohchr.org/Search/Details/32
Submission date;18 Nov 2008;https://juris.ohchr.org/Search/Details/32
Date of adoption of the Views;18 May 2012;https://juris.ohchr.org/Search/Details/32
Session No;48;https://juris.ohchr.org/Search/Details/32
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/32
Comment;;https://juris.ohchr.org/Search/Details/32
Issues;;https://juris.ohchr.org/Search/Details/32
Articles;;https://juris.ohchr.org/Search/Details/32
Committee;CAT;https://juris.ohchr.org/Search/Details/33
